Time, Rc (Maximum a Posteriori)
0,0.067355444
0,0.067355444
0,0.067355444
0,0.067355444
0,0.067355444
1,0.039213241
2,0.019985199
2,0.019985199
2,0.019985199
2,0.019985199
2,0.019985199
2,0.019985199
4,0.066365931
4,0.066365931
5,0.124628677
5,0.124628677
5,0.124628677
5,0.124628677
5,0.124628677
5,0.124628677
5,0.124628677
6,0.088779531
7,0.050339495
7,0.050339495
7,0.050339495
7,0.050339495
7,0.050339495
7,0.050339495
8,0.020417311
8,0.020417311
9,0.075198156
9,0.075198156
9,0.075198156
9,0.075198156
9,0.075198156
10,0.05840752
11,0.16370494
11,0.16370494
11,0.16370494
12,0.16768833
13,0.123368201
14,0.095821907
14,0.095821907
16,0.191743049
16,0.191743049
16,0.191743049
16,0.191743049
16,0.191743049
17,0.255306977
17,0.255306977
18,0.231688021
18,0.231688021
18,0.231688021
19,0.15784125
19,0.15784125
19,0.15784125
19,0.15784125
19,0.15784125
20,0.218480199
20,0.218480199
21,0.143348219
21,0.143348219
22,0.392919622
22,0.392919622
22,0.392919622
23,0.426318405
23,0.426318405
24,0.483279279
24,0.483279279
24,0.483279279
25,0.495658477
26,0.36172662
26,0.36172662
27,0.21739781
28,0.170275472
28,0.170275472
28,0.170275472
28,0.170275472
29,0.304929863
32,0.286425537
32,0.286425537
34,0.347070335
35,0.413982437
35,0.413982437
35,0.413982437
35,0.413982437
36,0.27782598
36,0.27782598
36,0.27782598
37,0.376996952
37,0.376996952
37,0.376996952
37,0.376996952
37,0.376996952
37,0.376996952
37,0.376996952
38,0.411778682
39,0.30255613
40,0.312850242
40,0.312850242
40,0.312850242
40,0.312850242
40,0.312850242
40,0.312850242
40,0.312850242
41,0.276124429
41,0.276124429
42,0.241802634
42,0.241802634
42,0.241802634
42,0.241802634
42,0.241802634
42,0.241802634
43,0.147979511
43,0.147979511
44,0.076715713
44,0.076715713
44,0.076715713
45,0.136450809
45,0.136450809
45,0.136450809
45,0.136450809
46,0.147729294
47,0.315767913
47,0.315767913
48,0.265193874
50,0.143271229
50,0.143271229
51,0.075161315
51,0.075161315
52,0.038148617
52,0.038148617
53,3.53E-13
53,3.53E-13
53,3.53E-13
53,3.53E-13
53,3.53E-13
54,0.075536826
54,0.075536826
54,0.075536826
54,0.075536826
55,0.185044323
55,0.185044323
56,0.178101065
56,0.178101065
56,0.178101065
57,0.271472368
57,0.271472368
57,0.271472368
57,0.271472368
58,0.374361267
58,0.374361267
59,0.283514898
59,0.283514898
59,0.283514898
59,0.283514898
60,0.184774998
60,0.184774998
60,0.184774998
61,0.411800028
61,0.411800028
62,0.567626367
62,0.567626367
63,0.670247399
64,1.000658704
64,1.000658704
66,1.081981052
66,1.081981052
67,0.806480729
68,0.736239416
68,0.736239416
69,0.748686263
